FatherEye;FatherHair;MotherEye;MotherHair;ChildSex;ChildHair;ChildEye
Green;Dark;Green;Dark;F;Blonde;Green
Blue;Blonde;Brown;Dark;M;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Brown;Dark;F;Dark;Brown
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;M;Dark;Brown
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Dark;F;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Dark;M;Dark;Brown
Blue;Blonde;Green;Dark;M;Blonde;Green
Brown;Dark;Green;Dark;F;Dark;Brown
Green;Blonde;Blue;Blonde;M;Blonde;Green
Blue;Blonde;Brown;Dark;M;Dark;Blue
Green;Blonde;Green;Dark;F;Blonde;Green
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Green;Dark;Green;Blonde;M;Blonde;Green
Green;Dark;Brown;Dark;F;Blonde;Brown
Brown;Dark;Green;Dark;M;Dark;Brown
Brown;Dark;Brown;Dark;M;Dark;Brown
Blue;Blonde;Green;Dark;F;Blonde;Blue
Blue;Blonde;Green;Dark;M;Blonde;Blue
Green;Blonde;Brown;Dark;F;Dark;Brown
Green;Dark;Brown;Dark;F;Dark;Brown
Brown;Dark;Brown;Dark;M;Dark;Blue
Brown;Dark;Green;Blonde;F;Dark;Brown
Brown;Dark;Brown;Dark;F;Blonde;Brown
Green;Blonde;Blue;Blonde;M;Dark;Green
Brown;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Green;Dark;F;Dark;Brown
Green;Blonde;Blue;Blonde;M;Blonde;Green
Green;Blonde;Brown;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;F;Dark;Brown
Brown;Dark;Green;Dark;M;Dark;Brown
Brown;Dark;Green;Blonde;F;Dark;Brown
Green;Blonde;Blue;Blonde;M;Dark;Blue
Brown;Dark;Brown;Dark;F;Blonde;Blue
Green;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Green;Dark;M;Blonde;Green
Brown;Dark;Brown;Dark;F;Dark;Brown
Green;Blonde;Brown;Dark;F;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;F;Dark;Brown
Green;Blonde;Green;Blonde;F;Blonde;Green
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Brown;Dark;Brown;Dark;F;Blonde;Brown
Brown;Dark;Green;Blonde;F;Blonde;Brown
Brown;Dark;Blue;Blonde;F;Blonde;Brown
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Green;Blonde;Brown;Dark;F;Dark;Green
Brown;Dark;Blue;Blonde;M;Blonde;Blue
Green;Dark;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Green;Dark;F;Blonde;Blue
Blue;Blonde;Green;Dark;M;Dark;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Green;Blonde;Green;Dark;M;Blonde;Green
Green;Dark;Brown;Dark;F;Blonde;Blue
Green;Dark;Blue;Blonde;F;Dark;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Brown;Dark;Green;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Green;Dark;Green;Blonde;F;Blonde;Green
Brown;Dark;Green;Dark;M;Dark;Brown
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Dark;Green;Blonde;F;Dark;Green
Brown;Dark;Blue;Blonde;M;Blonde;Brown
Green;Blonde;Blue;Blonde;F;Dark;Green
Brown;Dark;Brown;Dark;F;Dark;Brown
Green;Dark;Green;Dark;F;Blonde;Green
Brown;Dark;Green;Dark;F;Dark;Brown
Green;Dark;Blue;Blonde;F;Dark;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Blue;Blonde;Green;Dark;M;Blonde;Blue
Brown;Dark;Brown;Dark;M;Blonde;Blue
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Green;Dark;Green;Blonde;M;Blonde;Green
Brown;Dark;Green;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Green;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Green;Blonde;Green;Blonde;M;Blonde;Green
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Blonde;Blue;Blonde;F;Dark;Blue
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Brown;Dark;Green;Dark;M;Dark;Brown
Green;Dark;Green;Blonde;M;Dark;Green
Green;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Green;Dark;M;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Green
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Green;Dark;F;Blonde;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Green;Blonde;Brown;Dark;M;Dark;Brown
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Blue;Blonde;Brown;Dark;M;Dark;Blue
Blue;Blonde;Green;Blonde;F;Dark;Blue
Brown;Dark;Blue;Blonde;M;Blonde;Blue
Green;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Green;Blonde;M;Dark;Brown
Green;Dark;Brown;Dark;F;Dark;Brown
Green;Blonde;Blue;Blonde;M;Dark;Green
Green;Dark;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Blue;Blonde;Brown;Dark;F;Dark;Brown
Blue;Blonde;Green;Blonde;F;Blonde;Blue
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Brown;Dark;Green;Blonde;M;Blonde;Blue
Green;Blonde;Blue;Blonde;F;Dark;Green
Green;Blonde;Brown;Dark;F;Dark;Brown
Brown;Dark;Brown;Dark;F;Dark;Brown
Green;Blonde;Green;Blonde;M;Blonde;Green
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Green;Dark;F;Dark;Blue
Blue;Blonde;Green;Dark;M;Blonde;Blue
Green;Blonde;Green;Dark;M;Blonde;Green
Green;Blonde;Blue;Blonde;F;Blonde;Blue
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Green;Dark;M;Dark;Brown
Green;Dark;Blue;Blonde;M;Blonde;Blue
Green;Blonde;Brown;Dark;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;F;Dark;Brown
Brown;Dark;Blue;Blonde;F;Dark;Brown
Blue;Blonde;Green;Dark;F;Blonde;Blue
Blue;Blonde;Green;Blonde;F;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Dark;F;Dark;Brown
Green;Dark;Brown;Dark;F;Blonde;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Brown;Dark;Brown;Dark;F;Dark;Blue
Brown;Dark;Brown;Dark;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Green;Dark;F;Dark;Blue
Brown;Dark;Blue;Blonde;M;Dark;Brown
Blue;Blonde;Green;Blonde;F;Blonde;Green
Green;Blonde;Brown;Dark;F;Dark;Brown
Green;Dark;Brown;Dark;M;Dark;Brown
Green;Dark;Brown;Dark;F;Dark;Brown
Brown;Dark;Green;Blonde;M;Dark;Brown
Green;Blonde;Green;Blonde;F;Blonde;Green
Green;Blonde;Green;Dark;F;Dark;Green
Blue;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Green;Blonde;M;Dark;Green
Green;Blonde;Brown;Dark;M;Dark;Brown
Green;Dark;Blue;Blonde;F;Blonde;Green
Green;Blonde;Blue;Blonde;M;Dark;Blue
Brown;Dark;Brown;Dark;M;Dark;Brown
Blue;Blonde;Brown;Dark;F;Dark;Brown
Brown;Dark;Blue;Blonde;M;Blonde;Brown
Brown;Dark;Green;Blonde;M;Dark;Brown
Green;Blonde;Green;Blonde;M;Blonde;Green
Green;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Green;Dark;F;Dark;Blue
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Green;Dark;Blue;Blonde;F;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Dark;Brown
Blue;Blonde;Brown;Dark;M;Blonde;Brown
Green;Dark;Blue;Blonde;M;Dark;Blue
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Green;Blonde;F;Blonde;Green
Green;Dark;Brown;Dark;F;Blonde;Green
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Blue;Blonde;F;Dark;Brown
Blue;Blonde;Green;Dark;M;Dark;Blue
Green;Blonde;Brown;Dark;F;Blonde;Brown
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Dark;Brown
Blue;Blonde;Green;Dark;M;Dark;Blue
Brown;Dark;Blue;Blonde;M;Dark;Brown
Green;Dark;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Brown;Dark;M;Blonde;Brown
Green;Dark;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Green;Dark;F;Blonde;Green
Blue;Blonde;Green;Dark;M;Blonde;Green
Green;Dark;Blue;Blonde;M;Blonde;Green
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Brown;Dark;Green;Dark;M;Dark;Brown
Brown;Dark;Blue;Blonde;M;Dark;Brown
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Blue;Blonde;M;Blonde;Blue
Green;Dark;Green;Dark;F;Blonde;Green
Brown;Dark;Blue;Blonde;F;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Blue;Blonde;F;Dark;Blue
Brown;Dark;Brown;Dark;M;Blonde;Blue
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;F;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Green;Blonde;M;Blonde;Green
Brown;Dark;Brown;Dark;F;Blonde;Blue
Green;Dark;Brown;Dark;F;Dark;Brown
Green;Blonde;Green;Dark;F;Blonde;Green
Brown;Dark;Brown;Dark;M;Dark;Blue
Blue;Blonde;Green;Blonde;F;Blonde;Green
Blue;Blonde;Brown;Dark;M;Dark;Brown
Green;Dark;Brown;Dark;F;Dark;Brown
Brown;Dark;Green;Dark;F;Dark;Brown
Blue;Blonde;Green;Dark;M;Blonde;Blue
Green;Blonde;Green;Blonde;F;Blonde;Green
Brown;Dark;Blue;Blonde;M;Dark;Brown
Blue;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Brown;Dark;F;Dark;Brown
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Dark;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;M;Dark;Brown
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Green;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Brown;Dark;F;Dark;Brown
Brown;Dark;Green;Blonde;F;Blonde;Brown
Green;Blonde;Green;Dark;M;Dark;Green
Brown;Dark;Brown;Dark;F;Dark;Brown
Green;Dark;Green;Blonde;M;Blonde;Green
Green;Dark;Blue;Blonde;M;Blonde;Green
Brown;Dark;Blue;Blonde;F;Dark;Brown
Blue;Blonde;Blue;Blonde;F;Dark;Blue
Green;Blonde;Blue;Blonde;F;Dark;Green
Blue;Blonde;Brown;Dark;F;Dark;Blue
Brown;Dark;Blue;Blonde;F;Dark;Brown
Blue;Blonde;Green;Blonde;F;Blonde;Green
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Green
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Dark;Blue;Blonde;M;Blonde;Blue
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Blue;Blonde;M;Dark;Brown
Green;Blonde;Blue;Blonde;M;Dark;Green
Blue;Blonde;Green;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;F;Dark;Brown
Brown;Dark;Brown;Dark;F;Blonde;Blue
Blue;Blonde;Blue;Blonde;F;Dark;Blue
Blue;Blonde;Brown;Dark;M;Dark;Brown
Green;Blonde;Brown;Dark;M;Dark;Brown
Green;Dark;Blue;Blonde;F;Blonde;Green
Blue;Blonde;Blue;Blonde;M;Blonde;Blue
Brown;Dark;Green;Blonde;M;Dark;Brown
Green;Blonde;Green;Blonde;F;Blonde;Green
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Blue;Blonde;M;Dark;Blue
Blue;Blonde;Green;Dark;F;Blonde;Blue
Green;Dark;Green;Blonde;F;Blonde;Green
Green;Dark;Green;Blonde;F;Blonde;Green
Blue;Blonde;Green;Blonde;F;Blonde;Green
Green;Blonde;Brown;Dark;F;Dark;Blue
Green;Dark;Green;Blonde;F;Dark;Green
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Brown;Dark;F;Dark;Brown
Green;Dark;Green;Dark;M;Blonde;Green
Brown;Dark;Blue;Blonde;F;Dark;Brown
Brown;Dark;Blue;Blonde;M;Dark;Brown
Blue;Blonde;Green;Dark;F;Blonde;Blue
Green;Blonde;Blue;Blonde;M;Blonde;Blue
Green;Dark;Blue;Blonde;F;Dark;Blue
Green;Blonde;Green;Blonde;F;Blonde;Green
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Brown;Dark;M;Blonde;Blue
Green;Dark;Green;Dark;M;Blonde;Green
Brown;Dark;Green;Blonde;M;Dark;Brown
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Green;Dark;F;Blonde;Blue
Blue;Blonde;Blue;Blonde;F;Blonde;Green
Blue;Blonde;Blue;Blonde;F;Blonde;Blue
Brown;Dark;Brown;Dark;F;Dark;Brown
Blue;Blonde;Green;Dark;F;Blonde;Blue
Green;Dark;Green;Blonde;M;Blonde;Green
Brown;Dark;Green;Dark;F;Dark;Brown
